id,project_id,project_q,sort_order,title,person_q,class_q,first_name,last_name,role,role_wiki,start_date,end_date,website_urls
1,1,Q130247019,1,Milena Langer,Q130252476,Q5,Milena,Langer,,P767,,,"
"
2,1,Q130247019,2,Samuel Haitz,Q130252477,Q5,Samuel,Haitz,,P767,,,"
"
3,2,Q130247020,1,Nora Halpern,Q130251834,Q5,Nora,Halpern,Co-Gründerin,P112,,,"
"
4,2,Q130247020,2,Zuni Halpern,Q130251838,Q5,Zuni,Halpern,Co-Gründerin,P112,,,"
"
5,3,Q130247021,1,Edi Aschwanden,Q85092368,Mensch,Edi,Aschwanden,,P767,,,"
"
6,3,Q130247021,2,Urs Dickerhof,Q73603039,Mensch,Urs,Dickerhof,,P767,,,"
"
7,3,Q130247021,3,M. S. Bastian,Q28146081,Mensch,M.S.,Bastian,,P767,,,"
"
8,4,Q130247022,1,Kristina Comiotto,Q130252488,Q5,Kristina,Comiotto,,P767,,,"
"
9,4,Q130247022,2,Iren Tanner,Q130252489,Q5,Iren,Tanner,,P767,,,"
"
10,5,Q130247026,1,Luca Beeler,Q130252490,Q5,Luca,Beeler,,P767,,,"
"
11,6,Q130247028,1,Boris Magrini,Q130252491,Q5,Boris,Magrini,,P767,,,"
"
12,6,Q130247028,2,Jean-Marie Reynier,Q130252492,Q5,Jean-Marie,Reynier,,P767,,,"
"
13,8,Q130247030,1,Stephan Wittmer,Q85104311,Mensch,Stephan,Wittmer,,P767,,,"
"
14,9,Q130247031,1,Christoph Hess,Q115556441,Q5,Christoph,Hess,,P767,,,"
"
15,10,Q130247032,1,Samuel Rauber,Q130252494,Q5,Samuel,Rauber,(Leitung und Kuration),P767,,,"
"
16,10,Q130247032,2,Lukas Kreuzer,Q130252495,Q5,Lukas,Kreuzer,(von 2011 bis 2017),P767,2011,2017,"
"
17,11,Q130247033,1,Marielen Uster,Q130252496,Q5,Marielen,Uster,Leitung kulturschiene,P767,,,"
"
18,11,Q130247033,2,Heinz Studiger,Q130252497,Q5,Heinz,Studiger,Präsident Verein 9Freunde der kulturschiene:,P767,,,"
"
19,12,Q130247034,1,Andreas Meier,Q130252498,Q5,Andreas,Meier,Initiant und Leiter,P767,,,"
"
20,13,Q130247035,1,Reinhard Manz,Q130252499,Q5,Reinhard,Manz,Präsident,P767,,,"
"
21,13,Q130247035,2,Erich Busslinger,Q85094366,Mensch,Erich,Busslinger,,P767,,,"
"
22,13,Q130247035,3,Urs Berger,Q130251839,Q5,Urs,Berger,ehemaliges Gründungsmitglied,P112,,,"
"
23,13,Q130247035,4,Claude Gaçon,Q85096485,Mensch,Claude,Gaçon,ehemaliges Gründungsmitglied,P112,,,"
"
24,13,Q130247035,5,Heiner Vogelsanger,Q130251840,Q5,Heiner,Vogelsanger,ehemaliges Gründungsmitglied,P112,,,"
"
25,13,Q130247035,6,Daniel Wiener,Q130251841,Q5,Daniel,Wiener,ehemaliges Gründungsmitglied,P112,,,"
"
26,13,Q130247035,7,Ruedi Wyss,Q95331457,Mensch,Ruedi,Wyss,ehemaliges Gründungsmitglied,P112,,,"
"
27,13,Q130247035,8,Peter Zemp,Q130251842,Q5,Peter,Zemp,ehemaliges Gründungsmitglied,P112,,,"
"
28,13,Q130247035,9,Heinz Zürcher,Q130251843,Q5,Heinz,Zürcher,ehemaliges Gründungsmitglied,P112,,,"
"
29,14,Q130247036,1,Brita Polzer,Q130251976,Q5,Brita,Polzer,,P767,,,"
"
30,14,Q130247036,2,Samuel Herzog,Q95348390,Mensch,Samuel,Herzog,,P767,,,"
"
31,14,Q130247036,3,Marion von Osten,Q103893660,Mensch,Marion,von Osten,,P767,,,"
"
32,14,Q130247036,4,Kurt Kladler,Q130252502,Q5,Kurt,Kladler,,P767,,,"
"
33,14,Q130247036,5,Peter J. Schneemann,Q62560431,Mensch,Peter,Schneemann,,P767,,,"
"
34,15,Q130247037,1,Christian Bili,Q130252503,Q5,Christian,Bili,,P767,,,"
"
35,16,Q130247038,1,Fabio Colledani,Q130252504,Q5,Fabio,Colledani,Präsident,P767,,,"
"
36,16,Q130247038,2,Markus Unternährer,Q130252505,Q5,Markus,Unternährer,Vizepräsident,P767,,,"
"
37,16,Q130247038,3,Daniela P. Meier,Q130252506,Q5,Daniela P.,Meier,Finanzen,P767,,,"
"
38,16,Q130247038,4,Nadine Hasler,Q130252507,Q5,Nadine,Hasler,Aktuarin,P767,,,"
"
39,16,Q130247038,5,Nicole Billeter Mischler,Q130252508,Q5,Nicole,Billeter Mischler,Webadmin,P767,,,"
"
40,16,Q130247038,6,Florian Huber,Q130252509,Q5,Florian,Huber,Beisitzender,P767,,,"
"
41,16,Q130247038,7,Livia Müller,Q130252510,Q5,Livia,Müller,Beisitzende,P767,,,"
"
42,16,Q130247038,8,Cecilia Lodewyks,Q130252511,Q5,Cecilia,Lodewyks,Revisorin,P767,,,"
"
43,16,Q130247038,9,LABOR Luzern,Q130252512,Q5,LABOR,Luzern,Mitglied,P767,,,"
"
44,16,Q130247038,10,Maya Fielding,Q130252513,Q5,Maya,Fielding,Mitglied,P767,,,"
"
45,16,Q130247038,11,Esther Kissling,Q130252515,Q5,Esther,Kissling,Mitglied,P767,,,"
"
46,17,Q130247039,1,Daniel Samuel Suter,Q130252516,Q5,Daniel,Samuel Suter,"2004-2018, Kurator, Architekt Künstler, (Kuratorische Leitung), Zürich, Bern",P767,2004,2018,"
"
47,17,Q130247039,2,Simone Gilles Nyffeler,Q130252517,Q5,,,"2012-2018, Künstlerin, Kunsthistorikerin, Zürich (Kuratorische Mitarbeit)",P767,2012,2018,"
"
48,17,Q130247039,3,Annahita Brooks,Q130252518,Q5,Annahita,Brooks,"2015-2018, Künstlerin, Studentin, London, Zürich (Assistenz)",P767,2015,2018,"
"
49,17,Q130247039,4,Johannes Lortz,Q130252519,Q5,Johannes,Lortz,"2007-2012, Politaktivist und Maler, Bern (Kuratorische Mitarbeit, Texte)",P767,2007,2012,"
"
