id,project_id,project_q,title,street,post_code,city,city_q,address,canton,lang,pos_x,pos_y,WGS84_lat,WGS84_lon,from_date,from_trunc,from_date_wiki,until_date,until_trunc,until_date_wiki
1,1,Q130247019,,Dienerstrasse 33,8004,Zürich,Q72,"Dienerstrasse 33, 8004 Zürich",ZH,de,248044.107,682231.131,47.378141,8.5274107,2019-01-01,2,2019,,0,
2,2,Q130247020,,Grubenstrasse 45,8045,Zürich,Q72,"Grubenstrasse 45, 8045 Zürich",ZH,de,246144.631,681124.7,47.3609816,8.512486799727784,2017-01-01,2,2017,,0,
3,3,Q130247021,,Rue de l'Hôpital,2502,Biel/Bienne,Q1034,"Rue de l'Hôpital, 2502 Biel/Bienne",BE,fr,220798.545,584963.485,47.1356681,7.2431835,,0,,,0,
4,4,Q130247022,Seebad Utoquai,Utoquai,8008,Zürich,Q72,"Utoquai, 8008 Zürich",ZH,de,246489.394,683612.5,47.361629,8.5477796,2001-01-01,2,2001,,0,
5,5,Q130247026,,Platz 9,8200,Schaffhausen,Q9009,"Platz 9, 8200 Schaffhausen",SH,de,283709.398,689812.699,,,2018-06-01,1,2018-06,,0,
6,6,Q130247028,,,6513,Monte Carasso,Q70075,,TI,it,118586.423,718863.785,,,,0,,,0,
7,7,Q130247029,,Mörsbergerstrasse 4,4057,Basel,Q78,"Mörsbergerstrasse 4, 4057 Basel",BS,de,268398.468,611695.643,47.566176,7.5940839,,0,,,0,
8,8,Q130247030,,,,Lucerne,Q4191,,LU,de,210354.453,666772.082,,,1983-01-01,2,1983,1983-01-01,2,1983
9,9,Q130247031,,Schmiedgasse 11,4500,Solothurn,Q68965,"Schmiedgasse 11, 4500 Solothurn",SO,de,228541.669,608125.582,,,1978-01-01,2,1978,,0,
10,10,Q130247032,,Aarbergergasse 29,3011,Bern,Q70,"Aarbergergasse 29, 3011 Bern",BE,de,199820.354,600324.585,46.9495273,7.4428304,2011-07-01,1,2011-07,,0,
11,11,Q130247033,Bahnhof Herrliberg-Feldmeilen,General Wille Strasse 29,8706,Meilen,Q68261,"General Wille Strasse 29, 8706 Meilen",ZH,de,237448.485,688811.837,47.2817974,8.6126897,2004-01-01,2,2004,,0,
12,12,Q130247034,Bahnhof,,2502,Biel/Bienne,Q1034,,BE,,222332.288,587210.3,,,1989-06-01,1,1989-06,1989-11-01,1,1989-11
13,13,Q130247035,,Mailand-Strasse 20,4053,Basel,Q78,"Mailand-Strasse 20, 4053 Basel",BS,de,264843.482,612737.08,47.5341962,7.6077833,1979-01-01,2,1979,,0,
14,14,Q130247036,"in diversen Institutionen, Kunsträumen, öffentlichen Räumen",,,,,,,,,,,,2000-01-01,2,2000,2004-01-01,2,2004
15,15,Q130247037,,10 rue des Vieux-Grenadiers,1205,Geneva,Q71,"10 rue des Vieux-Grenadiers, 1205 Genève",GE,fr,117210.982,499611.241,46.1988283,6.1375228,2006-01-01,2,2006,2007-01-01,2,2007
16,16,Q130247038,,Degenstrasse,6010,Kriens,Q14571,"Degenstrasse, 6010 Kriens",LU,de,209745.966,663947.914,47.0355397,8.2801789,2017-09-01,1,2017-09,,0,
17,17,Q130247039,"Cube, Länggasse, ehemaliger Kiosk Ecke",Muesmattstrasse/Freiestrasse,3012,Bern,Q70,"Muesmattstrasse/Freiestrasse, 3012 Bern",BE,de,200285.597,599211.77,,,2004-01-01,2,2004,2007-01-01,2,2007
18,,Q130247039,"New Space, Speichergasse",Speichergasse 8,3011,Bern,Q70,"Speichergasse 8, 3011 Bern",BE,de,199955.284,600236.3,46.9506406,7.4417742,2007-01-01,2,2007,2011-01-01,2,2011
19,17,Q130247039,Ortsunabhängig Bern und Zürich,,,,,,,,,,,,2012-01-01,2,2012,2018-01-01,2,2018
20,18,Q130247040,Atelier Judith Huber,Gerliswilstrasse 23,6020,Emmenbrücke,Q55283951,"Gerliswilstrasse 23, 6020 Emmenbrücke",LU,de,213765.724,663865.018,47.07195485,8.279246498419107,2017-04-01,1,2017-04,,0,
21,19,Q130247041,,Hauptstrasse 45,5026,Densbüren,Q64537,"Hauptstrasse 45, 5026 Densbüren",AG,de,256209.042,646700.785,47.4534237,8.053445708952255,2017-05-21,0,2017-05-21,2017-11-01,1,2017-11
22,20,Q130247042,nt/ Areal,Erlenstrasse 5-23,4058,Basel,Q78,"Erlenstrasse 5-23, 4058 Basel",BS,de,268681.757,612002.702,47.5696306,7.604229,2001-01-01,2,2001,2002-01-01,2,2002
23,21,Q130247043,Diverse Orte,,,,,,,,,,,,2003-06-29,0,2003-06-29,2009-10-18,0,2009-10-18
25,23,Q130247045,Holzpark Klybeck,Uferstrasse 40,4057,Basel,Q78,"Uferstrasse 40, 4057 Basel",BS,de,269234.854,611148.96,47.5774143,7.5867532,2017-01-01,2,2017,2017-01-01,2,2017
26,25,Q130247048,,Bannstrasse 38,6312,Steinhausen,Q66697,"Bannstrasse 38, 6312 Steinhausen",ZG,de,228337.571,679491.456,47.209322,8.488897,2008-01-01,2,2008,,0,
27,26,Q130247049,,Obere Plessurstrasse 22,7000,Chur,Q69007,"Obere Plessurstrasse 22, 7000 Chur",GR,de,190835.722,759332.637,46.849540450000006,9.527911057385781,2010-01-01,2,2010,,0,
28,26,Q130247049,Arte Hotel Begaglia,,7606,Promontogno,Q7249857,,GR,de,133998,763130,,,2010-01-01,2,2010,2013-01-01,2,2013
29,,Q130247049,Video Arte,Palazzo Castelmur,7605,Stampa,Q688507,"Palazzo Castelmur, 7605 Stampa",GR,de,,,46.34268745,9.582492441083183,2013-01-01,2,2013,2015-01-01,2,2015
30,26,Q130247049,Arte Albignia,en plein air,,,,,GR,de,154255,713362,,,2017-07-02,0,2017-07-02,2017-09-30,0,2017-09-30
31,26,Q130247049,Arte Castasegna,,7608,Castasegna,Q661499,,GR,de,133561.09,760068.72,,,2018-06-18,0,2018-06-18,2018-10-21,0,2018-10-21
32,27,Q130247051,,Glockengasse 4,9000,St. Gallen,Q25607,"Glockengasse 4, 9000 St. Gallen",SG,de,254501.544,746396.36,47.4249809,9.379021668345182,2017-11-09,0,2017-11-09,2017-11-30,0,2017-11-30
33,28,Q130247052,Schürhölzlistrasse,Glattpark,8152,Opfikon,Q64224,"Glattpark, 8152 Opfikon",ZH,de,252442.976,685216.685,47.4210126,8.5571555,2016-07-01,1,2016-07,,0,
34,29,Q130247053,,Röschibachstrasse 57,8037,Zürich,Q72,"Röschibachstrasse 57, 8037 Zürich",ZH,de,249770.521,682149.719,47.39364655,8.52675463291299,2007-05-01,1,2007-05,2018-01-01,2,2018
35,,Q130247053,andernorts 2010,Sigi-Feigel-Terrasse,8001,Zürich,Q72,"Sigi-Feigel-Terrasse, 8001 Zürich",ZH,de,247739.728,682766.919,47.37588625,8.535154119728642,2007-05-01,1,2007-05,2018-01-01,2,2018
36,29,Q130247053,Luftlinie 2430 how the crow flies,im öffentlichen Raum,,Zürich,Q72,,ZH,de,247945.169,682945.254,,,2011-09-01,1,2011-09,2011-09-01,1,2011-09
37,,Q130247053,anderswo 2018,Hermetschloostrasse 77,8048,Zürich,Q72,"Hermetschloostrasse 77, 8048 Zürich",ZH,de,249748.799,678162.897,47.3939054,8.474090989377803,2018-03-01,1,2018-03,2018-03-01,1,2018-03
38,29,Q130247053,KunstRaum 57 nomadisch,nomadisch,,,,,,,,,,,2019-03-01,1,2019-03,,0,
39,30,Q130247055,,Steinbruchstrasse 6,7000,Chur,Q69007,"Steinbruchstrasse 6, 7000 Chur",GR,de,191066.777,759846.562,46.8518255,9.5351573,2016-11-01,1,2016-11,,0,
40,30,Q130247055,,"""Zur Zeit auf Wanderschaft. Der Off-Space wird in unregelmässigen Abständen und an verschiedenen Orten vorzu organisiert"" [Anmerkung Redaktion: Stand 27.1.2018]",,,,,,,,,,,2016-11-01,1,2016-11,,0,
41,31,Q130247057,,"Bahnhofstrasse 6 
Bahnhofstrasse 8",6072,Sachseln,Q64614,"Bahnhofstrasse 6/8, 6072 Sachseln",OW,de,191292.753,661030.106,,,2009-01-01,2,2009,2013-01-01,2,2013
42,32,Q61953337,,Isteinerstrasse 92,4058,Basel,Q78,"Isteinerstrasse 92, 4058 Basel",BS,de,268515.583,612112.504,47.5672096,7.5995958,2014-01-01,2,2014,,0,
43,33,Q130247058,,Diverse Orte im In- und Ausland,,,,,,,,,,,2012-01-01,2,2012,,0,
44,34,Q130247059,,,,,,,,,,,,,2006-01-01,2,2006,2011-01-01,2,2011
45,35,Q130247060,,Voltastrasse 41,4056,Basel,Q78,"Voltastrasse 41, 4056 Basel",BS,de,268889.83,610626.015,47.5708387,7.5808087,2017-01-01,2,2017,2019-01-01,2,2019
46,36,Q99043781,kunsthale roggwil-wynau k r-w,,4914,Roggwil,Q65577,,BE,,232251.377,628738.931,,,1997-08-11,0,1997-08-11,2000-04-30,0,2000-04-30
47,36,Q99043781,,Seevorstadt 71,2502,Biel/Bienne,Q1034,"Seevorstadt 71, 2502 Biel/Bienne",BE,de,222084.884,586216.73,47.1388476,7.2400845,1998-01-01,2,1998,,0,
48,37,Q130247062,,Kellerstrasse 25,6005,Lucerne,Q4191,"Kellerstrasse 25, 6005 Luzern",LU,de,210525.774,666398.871,47.042449000000005,8.312313649999997,2016-01-09,0,2016-01-09,,0,
49,39,Q130247064,,Meinrad-Lienert-Strasse 5,8003,Zürich,Q72,"Meinrad-Lienert-Strasse 5, 8003 Zürich",ZH,de,247587.338,681577.64,47.3742199,8.51854080936073,2018-01-01,1,2018-01,,0,
50,40,Q130247065,,Industriestrasse,6440,Brunnen,Q675405,"Industriestrasse, 6440 Brunnen",SZ,de,206348.53,689266.63,47.0027672,8.6120075,2013-01-01,2,2013,2016-11-01,0,2016-11-01
51,41,Q130247066,,Hornbachstrasse 62,8008,Zürich,Q72,"Hornbachstrasse 62, 8008 Zürich",ZH,de,245634.132,684455.548,47.356148000000005,8.55652016348998,2001-10-26,0,2001-10-26,2001-12-01,0,2001-12-01
52,,Q130247066,,Seefeldstrasse 9,8008,Zürich,Q72,"Seefeldstrasse 9, 8008 Zürich",ZH,de,246578.766,683844.816,47.364693450000004,8.548751267563421,2003-03-01,1,2003-03,2004-12-01,1,2004-12
53,42,Q130247067,,,,,,,AG,de,,,,,1999-01-01,2,1999,,0,
54,43,Q130247068,Ausstellungen sind Nomadisch,Waisenhausplatz 30,3011,Bern,Q70,"Waisenhausplatz 30, 3011 Bern",BE,de,199890.154,600407.545,46.9501284,7.4440058,2012-01-01,2,2012,2014-09-01,1,2014-09
55,44,Q130247070,,Stauffacherstrasse 9a,3014,Bern,Q70,"Stauffacherstrasse 9a, 3014 Bern",BE,de,200960.859,601205.372,46.9597029,7.4544519,2009-12-01,1,2009-12,,0,
56,45,Q130247071,,Rue des Maraîchers 36,1205,Geneva,Q71,"Rue des Maraîchers 36, 1205 Genève",GE,fr,117200.125,499440.241,46.1986402,6.1359608,2012-01-01,2,2012,,0,
57,46,Q130247073,c/o suti galerie - Gerberngasse,Gerberngasse,3011,Bern,Q70,"Gerberngasse, 3011 Bern",BE,de,199694.312,601479.127,46.9475022,7.4570103,1984-01-01,2,1984,2000-01-01,2,2000
58,,Q130247073,,Lorrainestrasse 21,3013,Bern,Q70,"Lorrainestrasse 21, 3013 Bern",BE,de,200662.612,600465.302,46.9571176,7.4446244,2000-01-01,2,2000,2009-01-01,2,2009
59,48,Q130247076,,Seevorstadt 73,2502,Biel/Bienne,Q1034,"Seevorstadt 73, 2502 Biel/Bienne",BE,de,220885.529,584906.271,47.1389074,7.239702,2000-01-01,2,2000,,0,
60,49,Q130247077,Rägeboge-Zentrum,Zürichstrasse 43,6004,Lucerne,Q4191,"Zürichstrasse 43, 6004 Luzern",LU,de,212297.924,666156.194,47.05831525,8.30937482503241,1978-01-01,2,1978,1982-01-01,2,1982
61,,Q130247077,Rägeboge-Zentrum,Zürichstrasse 43,6004,Lucerne,Q4191,"Zürichstrasse 43, 6004 Luzern",LU,de,212297.924,666156.194,47.05831525,8.30937482503241,1982-01-01,2,1982,1988-01-01,2,1988
62,50,Q130247078,,Rue Dr. César-Roux 4,1005,Lausanne,Q807,"Rue Dr. César-Roux 4, 1005 Lausanne",VD,fr,152878.614,538517.955,46.5243957,6.6374251,2008-01-01,2,2008,2012-09-13,0,2012-09-13
63,51,Q130247079,,Forelstrasse,3072,Ostermundigen,Q69682,"Forelstrasse, 3072 Ostermundigen",BE,de,200994.174,603321.076,46.9611173,7.4847416,1984-01-01,2,1984,1984-01-01,2,1984
64,52,Q130247080,Chez Alternative,Rue des Rois 25,1204,Geneva,Q71,"Rue des Rois 25, 1204 Genève",GE,fr,117510.264,499658.138,46.2017001,6.138285,2013-01-01,2,2013,,0,
65,53,Q130247081,diverse Orte,,5080,Laufenburg,Q69191,,AG,de,267794.704,647275.426,,,1953-01-01,2,1953,,0,
66,53,Q130247081,,"Diverse Orte
DE-79725 Laufenburg",,,,,,,,,,,1953-01-01,2,1953,,0,
67,54,Q130247082,,Sihlquai 125,8005,Zürich,Q72,"Sihlquai 125, 8005 Zürich",ZH,de,248789.679,682714.234,47.3846681,8.5340877,2015-08-01,1,2015-08,,0,
68,55,Q130247083,,Schwimmbadstrasse,5430,Wettingen,Q27576,"Schwimmbadstrasse, 5430 Wettingen",AG,de,257459.259,665766.743,47.4616434,8.3103252,1988-11-01,1,1988-11,1999-01-01,2,1999
69,56,Q130247084,,Avenue des Oiseaux 7,1018,Lausanne,Q807,"Avenue des Oiseaux 7, 1018 Lausanne",VD,fr,153732.033,537881.088,46.531926549999994,6.628884354119317,2011-01-01,2,2011,,0,
70,57,Q130247085,,Lagerplatz 21,8400,Winterthur,Q9125,"Lagerplatz 21, 8400 Winterthur",ZH,de,261160.661,696420.188,47.4941396,8.71807,2015-12-01,1,2015-12,2017-11-01,1,2017-11
71,58,Q130247086,,Brandstrasse 11,8952,Schlieren,Q69148,"Brandstrasse 11, 8952 Schlieren",ZH,de,250526.553,676139.374,47.4013579,8.4440205,2013-05-01,1,2013-05,2015-12-01,1,2015-12
72,59,Q130247087,,Mühledorfstrasse 18,3018,Bern,Q70,"Mühledorfstrasse 18, 3018 Bern",BE,de,199417.537,596337.249,46.9458316,7.3904701,2007-01-01,2,2007,,0,
73,60,Q130247088,Schlosshotel Brestenberg,Brestenbergstrasse 8,5707,Seengen,Q65004,"Brestenbergstrasse 8, 5707 Seengen",AG,de,241294.112,658194.399,47.319846350000006,8.208590246597957,1978-08-23,0,1978-08-23,1978-08-29,0,1978-08-29
74,61,Q130247089,,,3000,Bern,Q70,,BE,de,199194.107,595691.186,,,2012-01-01,2,2012,,0,
75,62,Q130247090,,Stadtturm,5400,Baden,Q63939,"Stadtturm, 5400 Baden",AG,de,258582.932,665397.031,47.473240649999994,8.307893971551259,1992-12-01,1,1992-12,1993-03-01,1,1993-03
76,63,Q130247091,,Brauerstrasse 126,8004,Zürich,Q72,"Brauerstrasse 126, 8004 Zürich",ZH,de,248274.462,681868.3,47.38022685,8.522757352574622,2009-10-01,1,2009-10,,0,
77,64,Q130247092,,Badenerstrasse 97,8004,Zürich,Q72,"Badenerstrasse 97, 8004 Zürich",ZH,de,247584.735,682078.884,47.3739923,8.5254278,2001-01-01,2,2001,2004-01-01,1,2004-01
78,65,Q130247093,beim Bahnhof Winterthur-Wülflingen,Wieshofstrasse 108,8408,Winterthur,Q9125,"Wieshofstrasse 108, 8408 Winterthur",ZH,de,262509.628,693609.892,47.5079863,8.6910905,2002-01-01,2,2002,,0,
79,66,Q130247094,,,,Zürich,Q72,,ZH,de,247945.169,682945.254,,,2008-01-01,2,2008,2009-01-01,2,2009
80,67,Q130247095,dans un appartement,Rue des Amis,1201,Geneva,Q71,"Rue des Amis, 1201 Genève",GE,fr,118462.052,499826.483,46.2102751,6.1401261,1994-01-01,2,1994,,0,
81,68,Q130247096,,Via Luigi Canonica 12,6900,Lugano,Q7024,"Via Luigi Canonica 12, 6900 Lugano",TI,it,96155.907,717687.22,46.0067933,8.9591984,2013-06-01,1,2013-06,,0,
82,69,Q2846076,,Rue du Stand 37,1204,Geneva,Q71,"Rue du Stand 37, 1204 Genève",GE,fr,117738.026,499637.48,46.2036083,6.1407138,1981-01-01,2,1981,,0,
83,70,Q130247097,,Belpstrasse 42,3007,Bern,Q70,"Belpstrasse 42, 3007 Bern",BE,de,199109.668,599470.707,46.9419325,7.4310856,1984-01-01,2,1984,1984-01-01,2,1984
84,71,Q130247098,,Kellerweg,8055,Zürich,Q72,"Kellerweg, 8055 Zürich",ZH,de,246852.614,679609.999,47.3657011,8.493504,2000-01-01,2,2000,2000-01-01,2,2000
86,73,Q130247099,,Haldenstrasse 5,9000,St. Gallen,Q25607,"Haldenstrasse 5, 9000 St. Gallen",SG,de,253964.68,745927.15,47.458923999999996,9.39261304123903,2016-01-01,2,2016,,0,
87,74,Q130247100,Bahnhofunterführung,Zürich-Selnau,8001,Zürich,Q72,"Zürich-Selnau, 8001 Zürich",ZH,de,247111.163,682686.902,47.3724695,8.5318556,1991-01-01,2,1991,1995-01-01,2,1995
88,75,Q130247101,Zentrum Neumarkt,Hofwiesenstrasse 350,8050,Zürich,Q72,"Hofwiesenstrasse 350, 8050 Zürich",ZH,de,251648.008,683323.785,47.4104927,8.5425187,1981-01-01,2,1981,1989-01-01,2,1989
89,76,Q130247102,,Stationsstrasse 21,8003,Zürich,Q72,"Stationsstrasse 21, 8003 Zürich",ZH,de,247391.509,681607.786,47.372309,8.51914261092213,2001-02-01,1,2001-02,2015-12-01,1,2015-12
90,78,Q23783889,,Grabenstrasse 33,9500,Wil,Q64077,"Grabenstrasse 33, 9500 Wil",SG,de,258629.929,721543.164,47.46723365,9.050873238759637,2009-01-01,2,2009,,0,
91,,Q23783889,,Marktgasse 88,9500,Wil,Q64077,"Marktgasse 88, 9500 Wil",SG,de,258662,721473,47.4676158,9.0500008,,0,,2009-01-01,2,2009
92,79,Q130247104,,,,Zürich,Q72,,ZH,de,247945.169,682945.254,,,1980-01-01,2,1980,1990-01-01,2,1990
93,80,Q130247105,,22 Rue de Berne,1201,Geneva,Q71,"22 Rue de Berne, 1201 Genève",GE,fr,118462.747,500243.656,46.2102075,6.1460142,1995-01-01,2,1995,2005-01-01,2,2005
94,81,Q130247106,,"39, rue des Bains",1205,Geneva,Q71,"39, rue des Bains, 1205 Genève",GE,fr,117242.566,499548.306,46.1991473,6.137202403580044,2004-01-01,2,2004,,0,
95,82,Q130247107,Galerie Toni Gerber (Nydeggstalden),Nydeggstalden 24,3011,Bern,Q70,"Nydeggstalden 24, 3011 Bern",BE,de,199786.761,601383.506,46.9491644,7.4568093,1964-01-01,2,1964,1968-01-01,2,1968
96,,Q130247107,,Gerechtigkeitsgasse 23/74,3011,Bern,Q70,"Gerechtigkeitsgasse 23/74, 3011 Bern",BE,de,199683.304,601235.388,46.9482801,7.4539671,1968-01-01,2,1968,1968-01-01,2,1968
97,83,Q130247108,,Waldstätterstrasse 31,6003,Lucerne,Q4191,"Waldstätterstrasse 31, 6003 Luzern",LU,de,211033.569,666181.54,47.0456467,8.306283,1986-01-01,2,1986,1990-01-01,2,1990
98,,Q130247108,,Industriestrasse 9,6005,Lucerne,Q4191,"Industriestrasse 9, 6005 Luzern",LU,de,210409.026,666335.474,47.04147695,8.311471993415909,1990-01-01,2,1990,1993-01-01,2,1993
99,,Q130247108,,Eichwaldstrasse 27a,6005,Lucerne,Q4191,"Eichwaldstrasse 27a, 6005 Luzern",LU,de,,,47.0365902,8.3030976,1994-01-01,2,1994,1999-01-01,2,1999
100,84,,Zentrum Wipkingen,Röschibachstrasse 22,8037,Zürich,Q72,"Röschibachstrasse 22, 8037 Zürich",ZH,de,249662.144,681992.175,47.3925921,8.5245698,2011-10-01,1,2011-10,,0,
101,85,Q130247109,,Quartier des Bains,1205,Geneva,Q71,"Quartier des Bains, 1205 Genève",GE,fr,,,,,2005-01-01,2,2005,2009-01-01,2,2009
102,86,Q130247110,,"Bernerstrasse Nord 180
1. Stock",8064,Zürich,Q72,"Bernerstrasse Nord 180, 8064 Zürich",ZH,de,249925.231,679161.835,,,2014-01-01,2,2014,,0,
103,87,Q130247111,,Rond-Point de Plainpalais,1205,Geneva,Q71,"Rond-Point de Plainpalais, 1205 Genève",GE,fr,117145.967,499968.852,46.1981548,6.1430006,1993-01-01,2,1993,1993-01-01,2,1993
104,88,Q130247112,,21 avenue des Eidguenots,1203,Geneva,Q71,"21 avenue des Eidguenots, 1203 Genève",GE,fr,117944.144,498161.581,46.2052317,6.1191838,2010-01-01,2,2010,,0,
105,89,Q130247113,,via alla Morettina 2,6600,Locarno,Q11935,"via alla Morettina 2, 6600 Locarno",TI,it,113527.67,703906.91,46.165088,8.789803,1996-03-01,1,1996-03,,0,
106,90,Q130247114,OG9,Lagerstrasse 98,8004,Zürich,Q72,"Lagerstrasse 98, 8004 Zürich",ZH,de,248260.909,682350.654,47.3781896,8.5322137,2012-08-01,1,2012-08,2014-11-01,1,2014-11
107,,Q130247114,Kunstplattform akku,Gerliswilstrasse 23,6020,Emmenbrücke,Q55283951,"Gerliswilstrasse 23, 6020 Emmenbrücke",LU,de,213765.724,663865.018,47.07195485,8.279246498419107,2014-11-01,1,2014-11,2014-12-01,1,2014-12
108,,Q130247114,Galerie Bob Gysin,Ausstellungsstrasse 24,8005,Zürich,Q72,"Ausstellungsstrasse 24, 8005 Zürich",ZH,de,248472.971,682937.214,47.3818349,8.5369926,2015-09-01,1,2015-09,2016-03-01,1,2016-03
109,,Q130247114,Galerie Lullin + Ferrari,Limmatstrasse 214,8005,Zürich,Q72,"Limmatstrasse 214, 8005 Zürich",ZH,de,249120.403,682218.695,47.3876777,8.527741282585652,2016-10-26,0,2016-10-26,2017-03-07,0,2017-03-07
