id,title,text_self,description,agenda,reception,collaborations,publications,org_form,org_struct,legal_struct,finance,notes,website_urls,archive_repo,from_date,from_trunc,until_date,until_trunc,cantons,radval_1,radval_2,radval_3,radval_4,radval_5,radval_6,radval_7
1,Saint Luke,"«Saint Luke is an exhibition space initiated by the Zurich University of the Arts (ZHdK) in 2019. Art & Media students Milena Langer and Samuel Haitz invite artists, be they students, ZHdK lecturers or other people from their environment to show their work in the space next to Club Zukunft and Bar3000. The project serves as a platform to show the manifold activities of ZHdK outside school.»
(Quelle: https://saintluke.ch/about/, Zugriff vom 19.03.2019).",,"27 February 19 – 20 March 19: «LINKING TWO SPACES», Marianne Mueller + Flavia Senn
10 April 19 – 22 May 19: «Possum», Cassidy Toner
June 19: Valentina Minnig",,,,,,,,,https://saintluke.ch,,2019-01-01,0,,0,ZH,0,0,0,0,0,0,0
2,GIEBEL,"«GIEBEL is an independent, noncommercial exhibition and project space founded by Zuni & Nora Halpern in 2017.»
(Quelle: http://halpernhalpern.com/giebel/, Zugriff vom 13.12.2018)",,,,,,,"Zum Duo HALPERN & HALPERN: «HALPERN & HALPERN is a duo of two workin on design, photography, illustration, interiour and art projects.»
(Quelle: http://halpernhalpern.com/, Zugriff vom 13.12.18)",,,,http://halpernhalpern.com/giebel/,,2017-01-01,0,,0,ZH,0,0,0,0,0,0,0
3,Kunstmausoleum Biel,,,,,,,,,,,"""Kunstmuseum"", das dann - nach der Gründung des Pasquart - zum ""Kunstmausoleum"" wurde. Ich bin damals mit meinem Lebenspartner sogar aus dem Aargau angereist, um das Mausoleum zu besuchen.""
(Quelle E-Mail Annelise Zwez, 05.04.2017 [BE_Biel_2017_Diverse_E-Mail_Zwez])",,,,0,,0,BE,0,0,0,0,0,0,0
4,stand-by visions,"Für Kunstschaffende wird es zunehmend schwieriger Ausstellungsmöglichkeiten zu finden. Wir versuchen dem, durch die Organisation von Ausstellungen an etwas «ver-rückten» Orten, Abhilfe zu schaffen.
stand-by visions ist eine unabhängige nicht profit-orientierte Organisation unter der Leitung von Iren Tanner und Kristina Comiotto.

Informationen und Bilder zu bereits realisierten Projekten finden sich in der Liste links.

Eine weitere Ausstellung ist in Planung, stattfinden wird diese im Herbst 2017.

(Quelle http://www.standbyvisions.ch, 24.05.2017)",,"Ausstellungen im Seebach Utoquai, vereinzelt in der Unterführung Escher-Wyss-Platz (2001) und dem Museum Bärengasse (2010),",,,,,,,"2008 Förderbeitrag Kanton Zürichs: 1000; «schwerelos» im Seebad Utoquai. 
2009 Förderbeitrag Stadt Zürich, Migros Kulturprozent
2010 Förderbeitrag Stadt Zürich
2014 Georges und Jenny Bloch Stiftung, Migros Kulturprozent, Stadt Zürich
2016 Georges und Jenny Bloch Stiftung, Migros Kulturprozent, Stadt Zürich",,,"Online Archiv, Stand-by Visions, http://www.standbyvisions.ch (Ausstellungsdokumentationen, Zeitungsartikel, Einladungskarten)",2001-01-01,0,,0,ZH,0,0,0,0,0,0,0
5,Haus zur Liebe,,,,,,,,,,,,https://zurliebe.com/,,2018-06-01,0,,0,SH,0,0,0,0,0,0,0
6,I Sotterranei dell'Arte,,,,,,,,,,Erhielten Beträge vom Bundesamt für Kultur,,,,,0,,0,TI,0,0,0,0,0,0,0
7,Mörsbergstrasse 4,"Ausstellungsprojekt mit M. Gadient, B. Klein, U. Metzler, D. Wettstein.",,,,,,,,,,erwähnt in BS_Basel_1994_Filiale_Rickli_Lebenslauf_Werkliste_21.09.-23.10.1994.,,,,0,,0,BS,0,0,0,0,0,0,0
8,Taubenhausstrasse 21,,,,,,,,,,,"Erwähnt im Gründungsprotokoll der Kunsthalle Luzern, Juni 1989, Privatarchiv Erwin Hofstetter.",,,1983-01-01,0,1983-01-01,0,LU,0,0,0,0,0,0,0
9,Künstlerhaus S11,"«Das Künstlerhaus S11 ist eine Plattform für zeitgenössisches Kunstschaffen. Das Haus in der Solothurner Altstadt existiert seit dem Jahr 1978 als Ort der Auseinandersetzung mit und Vermittlung von Gegenwartskunst, als Treffpunkt für Kunstschaffende und Interessierte. Diese Zielsetzungen haben sich im Verlauf der Jahre nicht geändert. Wir zeigen regionales Kunstschaffen, immer wieder auch im Austausch mit nationalen oder internationalen Positionen. Es ist uns ein Anliegen vom Kanton gefördertes Schaffen zu zeigen und wir arbeiten mit verschiedenen Solothurner Kulturveranstaltern zusammen (Filmtage, Literaturtage, Gastatelier Altes Spital, Solopool, Galerien). Wir bieten eine Plattform für jüngere Kunstschaffende, die für ihre Ausbildung aus der Region weg in grössere Städte ziehen müssen, genauso wie für ältere gestandene Kunstschaffende, deren Entwicklung wir kontinuierlich verfolgen.
 
Das Künstlerhaus S11 eignet sich mit seinen kleinen, intimen Räumen in besonderem Masse für raum- und situationsspezifisches Arbeiten. Ein Schaufenster öffnet das Haus zur Gasse hin und stellt einen Bezug zum örtlichen Kontext her. Die Ausstellungsräume in den vier Etagen und die Möglichkeit, den Dachboden künstlerisch oder musikalisch zu bespielen, bietet ein kleinteiliges aber breites Spektrum für verschiedene Präsentationen von Kunst. Mit einem Bistro in der obersten Etage des Hauses findet sich zudem auch ein Raum, der auf Gemeinschaft hin ausgelegt ist und die Begegnung unter den Kunstschaffenden sowie mit der Öffentlichkeit fördert.
 
Das Programm besteht aus klassischen Ausstellungen, Performance und Konzeptkunst, einmaligen Anlässen, Musikveranstaltungen, Lesungen und Workshops.
 
Das Team ist offen für Mitdenken, Vorschläge, Mitarbeiten am Projekt Künstlerhaus. Alles weitere findet sich dazu unter »Mitmachen«, »Mitgliedschaft« und »Unterstützung«.» (http://www.s11.ch/kuenstlerhaus/haus-konzept/, Zugriff vom 06.06.2017)",,,,,,Organisation,"«Die Basis des Hauses bildet der Trägerverein Künstlerhaus Schmiedengasse 11, bestehend aus Kunstschaffenden, KunsthistorikerInnen sowie Freundinnen und Freunden der Kunst. Der Vorstand des Trägervereins führt die üblichen administrativen Geschäfte des Vereins. Das Herzstück des Künstlerhauses ist jedoch das Team, welches es erst ermöglicht, dass ca. 12 Ausstellungsprojekte pro Jahr geplant und realisiert werden können.
Die Arbeit für Konzept und Umsetzung des Ausstellungsbetriebes wird ehrenamtlich geleistet.
 
Hier findet ihr die Statuten des Vereins. Neuen (und natürlich auch altgedienten Mitgliedern) stehen die Pforten des Künstlerhauses weit offen. Wir bieten vielfältige Möglichkeiten, eure Projekte zu verwirklichen.» (http://www.s11.ch/kuenstlerhaus/organisation-team/, Zugriff vom 06.06.2017).",,,,http://www.s11.ch,,1978-01-01,2,,0,SO,1,3,1,1,1,3,3
10,SUBSTRAT - Projektraum Bern,"«Substrat ist klein; sehr klein. So klein, dass es nicht betreten werden kann.
Substrat liegt mitten in Bern und erreicht dadaurch ein breites Publikum.
Substrat versteht sich als nicht kommerzielle Plattform für Junge Kunst.
Substrat vereint raumspezifische Arbeiten, Performances und Konzerte.
Substrat präsentiert Ausstellungen, die jeweils fünf Wochen andauern.» (https://substrat-raum.ch/about/, Zugriff vom 03.07.2017),
(Quelle: Retourniertes Factsheet Aufruf, Samuel Rauber, 18.01.2018, [Online submission])",,"«Bisher 30 Ausstellungen
ca. 10 Ausstellungen pro Jahr
jeweils etwas in der Vitrine und etwas Performatives (Sound, Performance, Lesung, etc)»,
(Quelle: Retourniertes Factsheet Aufruf, Samuel Rauber, 18.01.2018, [Online submission])",,"«Sehr offene Kollaboration mit dem kleinen Berner Kunstraum Galerie3000. (gemeinsame Vernissagen, längerfristig)»
(Quelle: Retourniertes Factsheet Aufruf, Samuel Rauber, 18.01.2018, [Online submission])",,,"«Samuel macht alles ;-), Manchmal hilft jemand bei den Fotos.» (https://substrat-raum.ch/about/, Zugriff vom 03.07.2017),
(Quelle: Retourniertes Factsheet Aufruf, Samuel Rauber, 18.01.2018, [Online submission])",,"«Burgergemeinde Bern
Stadt Bern
Kanton Bern
4feet Bern (Ladenlokal, dass uns die Vitrine gratis zum bespielen zur Verfügung stellt)
Lohn zahle ich mir keinen aus.»
(Quelle: Retourniertes Factsheet Aufruf, Samuel Rauber, 18.01.2018, [Online submission])",,"https://substrat-raum.ch/
https://www.facebook.com/projektraumsubstrat","""Onlinearchiv, Alle Ausstellungen sind auf https://substrat-raum.ch/#/artists/ [Zugriff, 7.12.2018] abrufbar."" (gemeinsame Vernissagen, längerfristig)""
(Quelle: Retourniertes Factsheet Aufruf, Samuel Rauber, 18.01.2018, [Online submission])",2011-07-01,0,,0,BE,0,0,0,0,0,0,0
